0,194
0,194
0,194
0,194
0,194
0,194
0,194
0,194
0,194
0,194
0,194
0,194
0,194
0,194
0,194
0,194
0,194
0,194
0,194
162,132
168,126
173,122
179,115
181,113
185,110
188,107
189,105
193,100
194,99
197,97
200,94
201,93
205,90
206,88
208,87
209,85
210,83
211,82
213,81
215,79
215,78
217,75
218,74
220,73
221,72
222,71
224,69
225,69
226,67
227,66
228,65
229,64
230,63
231,61
233,61
233,59
234,59
235,58
236,57
237,56
238,55
239,55
240,53
240,53
241,52
242,51
243,51
244,49
244,49
245,48
245,48
246,47
247,46
247,46
248,45
249,44
249,43
250,43
250,43
251,42
252,41
252,41
252,40
253,39
254,39
254,39
254,38
255,38
256,37
256,37
256,37
256,36
257,36
258,35
258,35
258,34
258,34
259,34
259,34
260,34
260,33
260,33
260,32
261,32
261,32
261,32
261,31
262,31
262,31
262,31
262,31
263,31
263,30
263,30
263,30
263,30
263,30
263,29
263,29
263,29
264,29
264,29
264,29
264,29
264,29
264,29
264,29
264,29
264,29
264,29
264,29
264,29
264,29
264,28
264,28
264,29
264,29
264,29
264,29
264,29
264,29
264,29
264,29
264,29
264,29
264,29
265,28
0,27
0,194
0,194
0,194
0,194
0,194
0,194
0,194
0,194
0,194
0,194
0,194
0,194
0,194
0,194
0,194
0,194
0,194
0,194
0,194
0,194
0,194
0,194
0,194
0,194
0,194
0,194
0,194
0,194
0,194
0,194
0,194
0,194
0,194
0,194
0,194
0,194
0,194
0,194
0,194
0,194
0,194
0,194
0,194
0,194
0,194
