edge_axis-x,edge_axis-y,X1,Y1,X2,Y2,conner_axis-X,conner_axis-Y
45,185,98.0,38.0,104.0,36.0,61.0,55.0
45,186,20.0,113.0,23.0,102.0,190.0,46.0
46,76,225.0,78.0,230.0,83.0,14.0,148.0
46,77,67.0,52.0,69.0,51.0,218.0,68.0
46,78,15.0,163.0,15.0,131.0,14.0,159.0
46,187,126.0,33.0,144.0,33.0,25.0,97.0
46,188,83.0,169.0,83.0,150.0,61.0,55.0
46,189,177.0,142.0,177.0,161.0,190.0,46.0
46,190,70.0,50.0,84.0,43.0,14.0,148.0
47,75,176.0,41.0,186.0,45.0,218.0,68.0
47,76,159.0,36.0,161.0,36.0,14.0,159.0
47,190,24.0,100.0,28.0,94.0,25.0,97.0
47,191,29.0,91.0,39.0,78.0,61.0,55.0
48,73,205.0,57.0,215.0,67.0,190.0,46.0
48,74,85.0,140.0,174.0,140.0,14.0,148.0
48,75,57.0,60.0,66.0,52.0,218.0,68.0
48,191,190.0,46.0,203.0,57.0,14.0,159.0
48,192,211.0,62.0,225.0,76.0,25.0,97.0
48,193,202.0,55.0,207.0,60.0,61.0,55.0
49,71,17.0,124.0,17.0,122.0,190.0,46.0
49,72,36.0,80.0,57.0,59.0,14.0,148.0
49,193,98.0,38.0,104.0,36.0,218.0,68.0
49,194,20.0,113.0,23.0,102.0,14.0,159.0
50,69,225.0,78.0,230.0,83.0,25.0,97.0
50,70,67.0,52.0,69.0,51.0,61.0,55.0
50,71,15.0,163.0,15.0,131.0,190.0,46.0
50,194,126.0,33.0,144.0,33.0,14.0,148.0
50,195,83.0,169.0,83.0,150.0,218.0,68.0
51,68,177.0,142.0,177.0,161.0,14.0,159.0
51,69,70.0,50.0,84.0,43.0,25.0,97.0
51,195,176.0,41.0,186.0,45.0,61.0,55.0
51,196,159.0,36.0,161.0,36.0,190.0,46.0
52,66,24.0,100.0,28.0,94.0,14.0,148.0
52,67,29.0,91.0,39.0,78.0,218.0,68.0
52,68,205.0,57.0,215.0,67.0,14.0,159.0
52,196,85.0,140.0,174.0,140.0,25.0,97.0
52,197,57.0,60.0,66.0,52.0,61.0,55.0
52,198,190.0,46.0,203.0,57.0,190.0,46.0
53,65,211.0,62.0,225.0,76.0,14.0,148.0
53,66,202.0,55.0,207.0,60.0,218.0,68.0
53,198,17.0,124.0,17.0,122.0,14.0,159.0
53,199,36.0,80.0,57.0,59.0,25.0,97.0
54,64,98.0,38.0,104.0,36.0,61.0,55.0
54,65,20.0,113.0,23.0,102.0,190.0,46.0
54,199,225.0,78.0,230.0,83.0,14.0,148.0
54,200,67.0,52.0,69.0,51.0,218.0,68.0
55,62,15.0,163.0,15.0,131.0,14.0,159.0
55,63,126.0,33.0,144.0,33.0,25.0,97.0
55,64,83.0,169.0,83.0,150.0,61.0,55.0
55,200,177.0,142.0,177.0,161.0,190.0,46.0
55,201,70.0,50.0,84.0,43.0,14.0,148.0
55,202,176.0,41.0,186.0,45.0,218.0,68.0
56,61,159.0,36.0,161.0,36.0,14.0,159.0
56,62,24.0,100.0,28.0,94.0,25.0,97.0
56,202,29.0,91.0,39.0,78.0,61.0,55.0
56,203,205.0,57.0,215.0,67.0,190.0,46.0
57,59,85.0,140.0,174.0,140.0,14.0,148.0
57,60,57.0,60.0,66.0,52.0,218.0,68.0
57,61,190.0,46.0,203.0,57.0,14.0,159.0
57,203,211.0,62.0,225.0,76.0,25.0,97.0
57,204,202.0,55.0,207.0,60.0,61.0,55.0
57,205,17.0,124.0,17.0,122.0,190.0,46.0
58,58,36.0,80.0,57.0,59.0,14.0,148.0
58,59,98.0,38.0,104.0,36.0,218.0,68.0
58,205,20.0,113.0,23.0,102.0,14.0,159.0
58,206,225.0,78.0,230.0,83.0,25.0,97.0
59,57,67.0,52.0,69.0,51.0,61.0,55.0
59,58,15.0,163.0,15.0,131.0,190.0,46.0
59,206,126.0,33.0,144.0,33.0,14.0,148.0
59,207,83.0,169.0,83.0,150.0,218.0,68.0
60,55,177.0,142.0,177.0,161.0,14.0,159.0
60,56,70.0,50.0,84.0,43.0,25.0,97.0
60,57,176.0,41.0,186.0,45.0,61.0,55.0
60,207,159.0,36.0,161.0,36.0,190.0,46.0
60,208,24.0,100.0,28.0,94.0,14.0,148.0
60,209,29.0,91.0,39.0,78.0,218.0,68.0
61,55,205.0,57.0,215.0,67.0,14.0,159.0
61,209,85.0,140.0,174.0,140.0,25.0,97.0
62,53,57.0,60.0,66.0,52.0,61.0,55.0
62,54,190.0,46.0,203.0,57.0,190.0,46.0
62,55,211.0,62.0,225.0,76.0,14.0,148.0
62,209,202.0,55.0,207.0,60.0,218.0,68.0
62,210,17.0,124.0,17.0,122.0,14.0,159.0
62,211,36.0,80.0,57.0,59.0,25.0,97.0
63,52,98.0,38.0,104.0,36.0,61.0,55.0
63,53,20.0,113.0,23.0,102.0,190.0,46.0
63,211,225.0,78.0,230.0,83.0,14.0,148.0
63,212,67.0,52.0,69.0,51.0,218.0,68.0
64,51,15.0,163.0,15.0,131.0,14.0,159.0
64,52,126.0,33.0,144.0,33.0,25.0,97.0
64,212,83.0,169.0,83.0,150.0,61.0,55.0
64,213,177.0,142.0,177.0,161.0,190.0,46.0
65,50,70.0,50.0,84.0,43.0,14.0,148.0
65,51,176.0,41.0,186.0,45.0,218.0,68.0
65,213,159.0,36.0,161.0,36.0,14.0,159.0
65,214,24.0,100.0,28.0,94.0,25.0,97.0
66,49,29.0,91.0,39.0,78.0,61.0,55.0
